"Package" "Version"
"1" "ade4" "1.7-16"
"2" "AnnotationFilter" "1.6.0"
"3" "apcluster" "1.4.8"
"4" "ape" "5.4-1"
"5" "askpass" "1.1"
"6" "beachmat" "1.4.0"
"7" "Binarize" "1.3"
"8" "BiocGenerics" "0.28.0"
"9" "BiocManager" "1.30.10"
"10" "BiocParallel" "1.16.6"
"11" "BiocVersion" "3.8.0"
"12" "biomaRt" "2.38.0"
"13" "Biostrings" "2.50.2"
"14" "biovizBase" "1.30.1"
"15" "bold" "1.1.0"
"16" "boot" "1.3-25"
"17" "broom" "0.7.2"
"18" "BSgenome" "1.50.0"
"19" "BSgenome.Hsapiens.UCSC.hg38" "1.4.1"
"20" "BSgenome.Mmusculus.UCSC.mm10" "1.4.0"
"21" "bsseq" "1.18.0"
"22" "callr" "3.5.1"
"23" "caret" "6.0-86"
"24" "circlize" "0.4.11"
"25" "clipr" "0.7.1"
"26" "clisymbols" "1.2.0"
"27" "clusterGeneration" "1.3.6"
"28" "CNEr" "1.18.1"
"29" "colorspace" "2.0-0"
"30" "commonmark" "1.7"
"31" "ComplexHeatmap" "2.3.2"
"32" "conditionz" "0.1.0"
"33" "covr" "3.5.1"
"34" "cowplot" "1.1.0"
"35" "cpp11" "0.2.4"
"36" "crul" "1.0.0"
"37" "DelayedArray" "0.8.0"
"38" "DelayedMatrixStats" "1.4.0"
"39" "dendextend" "1.14.0"
"40" "desc" "1.2.0"
"41" "devtools" "2.3.2"
"42" "digest" "0.6.27"
"43" "DirichletMultinomial" "1.24.1"
"44" "dplyr" "1.0.2"
"45" "DT" "0.16"
"46" "dummies" "1.5.6"
"47" "ellipsis" "0.3.1"
"48" "EnsDb.Hsapiens.v75" "2.99.0"
"49" "EnsDb.Hsapiens.v86" "2.99.0"
"50" "ensembldb" "2.6.8"
"51" "farver" "2.0.3"
"52" "fgsea" "1.8.0"
"53" "fs" "1.5.0"
"54" "future" "1.20.1"
"55" "future.apply" "1.6.0"
"56" "geiger" "2.0.7"
"57" "generics" "0.1.0"
"58" "GenomeInfoDb" "1.18.2"
"59" "GenomeInfoDbData" "1.2.0"
"60" "GenomicAlignments" "1.18.1"
"61" "GenomicFeatures" "1.34.8"
"62" "GenomicRanges" "1.34.0"
"63" "GetoptLong" "1.0.4"
"64" "ggbio" "1.30.0"
"65" "ggdendro" "0.1.22"
"66" "ggExtra" "0.9"
"67" "ggforce" "0.3.2"
"68" "gglogo" "0.1.4"
"69" "ggpubr" "0.4.0"
"70" "ggrepel" "0.8.2"
"71" "ggsci" "2.9"
"72" "ggseqlogo" "0.1"
"73" "ggsignif" "0.6.0"
"74" "ggtree" "1.14.6"
"75" "gh" "1.1.0"
"76" "GlobalOptions" "0.1.2"
"77" "globals" "0.14.0"
"78" "glue" "1.4.2"
"79" "goft" "1.3.6"
"80" "gridExtra" "2.3"
"81" "gtools" "3.8.2"
"82" "HDF5Array" "1.10.1"
"83" "Homo.sapiens.hg38" "1.0.0"
"84" "httpcode" "0.3.0"
"85" "httr" "1.4.2"
"86" "igraph" "1.2.6"
"87" "ini" "0.3.1"
"88" "IRanges" "2.16.0"
"89" "JASPAR2014" "1.18.0"
"90" "jsonlite" "1.7.1"
"91" "kebabs" "1.16.0"
"92" "KEGGREST" "1.22.0"
"93" "leukemiasEset" "1.18.0"
"94" "LiblineaR" "2.10-8"
"95" "lifecycle" "0.2.0"
"96" "listenv" "0.8.0"
"97" "MIRA" "1.4.1"
"98" "ModelMetrics" "1.2.2.2"
"99" "msa" "1.14.0"
"100" "natserv" "1.0.0"
"101" "ncbit" "2013.03.29"
"102" "network" "1.16.1"
"103" "openssl" "1.4.3"
"104" "OrganismDbi" "1.24.0"
"105" "packrat" "0.5.0"
"106" "parallelly" "1.21.0"
"107" "permute" "0.9-5"
"108" "phangorn" "2.5.5"
"109" "phylobase" "0.8.10"
"110" "phytools" "0.7-70"
"111" "pixmap" "0.4-11"
"112" "pkgbuild" "1.1.0"
"113" "pkgload" "1.1.0"
"114" "PKI" "0.1-7"
"115" "poweRlaw" "0.70.6"
"116" "pracma" "2.2.9"
"117" "processx" "3.4.4"
"118" "ProtGenerics" "1.14.0"
"119" "pryr" "0.1.4"
"120" "purrr" "0.3.4"
"121" "R.methodsS3" "1.8.1"
"122" "R.oo" "1.24.0"
"123" "R.utils" "2.10.1"
"124" "recipes" "0.1.15"
"125" "rematch2" "2.1.2"
"126" "remotes" "2.2.0"
"127" "rentrez" "1.2.3"
"128" "rhdf5" "2.26.2"
"129" "Rhdf5lib" "1.4.3"
"130" "ritis" "0.9.0"
"131" "rjson" "0.2.20"
"132" "rlang" "0.4.8"
"133" "rncl" "0.8.4"
"134" "RNeXML" "2.4.5"
"135" "rotl" "3.0.11"
"136" "roxygen2" "7.1.1"
"137" "rr2" "1.0.2"
"138" "rredlist" "0.7.0"
"139" "Rsamtools" "1.34.1"
"140" "rsconnect" "0.8.16"
"141" "rslurm" "0.5.0"
"142" "rstatix" "0.6.0"
"143" "rtracklayer" "1.42.2"
"144" "rvcheck" "0.1.8"
"145" "rversions" "2.0.2"
"146" "S4Vectors" "0.20.1"
"147" "scales" "1.1.1"
"148" "seqLogo" "1.48.0"
"149" "shape" "1.4.5"
"150" "simpleboot" "1.1-7"
"151" "simpleCache" "0.4.1"
"152" "sna" "2.6"
"153" "solrium" "1.1.4"
"154" "sys" "3.4"
"155" "TAPseq" "0.2.0"
"156" "taxize" "0.9.99"
"157" "TFBSTools" "1.20.0"
"158" "TFMPvalue" "0.0.8"
"159" "tibble" "3.0.4"
"160" "tidyr" "1.1.2"
"161" "tidyselect" "1.1.0"
"162" "tidytree" "0.3.3"
"163" "topGO" "2.34.0"
"164" "treeio" "1.6.2"
"165" "triebeard" "0.3.0"
"166" "tweenr" "1.0.1"
"167" "TxDb.Hsapiens.UCSC.hg38.knownGene" "3.4.0"
"168" "urltools" "1.7.3"
"169" "usethis" "1.6.3"
"170" "VariantAnnotation" "1.28.13"
"171" "vctrs" "0.3.5"
"172" "wiggleplotr" "1.6.1"
"173" "WikidataR" "1.4.0"
"174" "WikipediR" "1.5.0"
"175" "wikitaxa" "0.4.0"
"176" "withr" "2.3.0"
"177" "worrms" "0.4.2"
"178" "XVector" "0.22.0"
"179" "zeallot" "0.1.0"
"180" "abind" "1.4-5"
"181" "acepack" "1.4.1"
"182" "actuar" "2.3-3"
"183" "ada" "2.0-5"
"184" "adabag" "4.2"
"185" "AER" "1.2-9"
"186" "affy" "1.58.0"
"187" "affyio" "1.50.0"
"188" "AGD" "0.39"
"189" "akima" "0.6-2"
"190" "alabama" "2015.3-1"
"191" "ALL" "1.22.0"
"192" "alpaca" "0.3.2"
"193" "alr3" "2.0.8"
"194" "alr4" "1.0.6"
"195" "amap" "0.8-16"
"196" "Amelia" "1.7.6"
"197" "AmesHousing" "0.0.3"
"198" "annotate" "1.58.0"
"199" "AnnotationDbi" "1.42.1"
"200" "ape" "5.3"
"201" "aplpack" "1.3.3"
"202" "argon2" "0.2-0"
"203" "argonR" "0.2.0"
"204" "arm" "1.10-1"
"205" "arules" "1.6-4"
"206" "ascii" "2.1"
