V1	Fortlaufende Nr	Patho-Nr	English	Tierart	scientific_name	sex	age	Entnahme	Tissue	Well_y	Well_x	Abbreviation	DNA (ng/µl)	Volume (µl)	DNA prep date	comment	Box	RRBS-status	Experiment ID	pre-BC_CT	Enrichment cycles	Pool	Adapter	FlowCell	lane	renamed	Experiment_new lib prep	pre-BC CT_uc	Adapter_uc	unconverted	renamed_uc	Experiment_unconverted	enrichtment_uc	Flowcell_uc	lane_uc
1	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Heart		NA	PK_1_H	22,8	100	02.02.2016		1	prepped	AK10	12,46	16	2	TruSeq LT Index 1	204	4								NA	NA	NA
2	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Liver		NA	PK_1_L	40,0	100	02.02.2016		1	prepped	AK10	12,83	13	1	TruSeq LT Index 2	204	1								NA	NA	NA
3	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Kidney		NA	PK_1_K	106,0	100	02.02.2016		1	prepped	AK10	11,27	13	1	TruSeq LT Index 3	204	1								NA	NA	NA
4	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Spleen		NA	PK_1_S	176,0	300	02.02.2016		1	prepped	AK10	9,23	13	1	TruSeq LT Index 4	204	1								NA	NA	NA
5	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Duodenum		NA	PK_1_D	76,0	100	02.02.2016		1	prepped	AK14	11,40	13	7	TruSeq LT Index 23	218	7	PK_1_D__r1							NA	NA	NA
6	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Lung		NA	PK_1_LU	64,6	100	02.02.2016		1	prepped	AK10	13,71	16	2	TruSeq LT Index 6	204	4								NA	NA	NA
7	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Lymphnode		NA	PK_1_LN	95,0	200	02.02.2016		1	prepped	AK10	11,87	13	1	TruSeq LT Index 7	204	1								NA	NA	NA
8	85	47/222/09	Parma kangaroo/wallaby	ParmaKaenguru	Macropus parma	f	1 j	17.12.2009	Muscle		NA	PK_1_M	25,4	100	02.02.2016		1	prepped	AK10	13,93	16	2	TruSeq LT Index 8	204	4								NA	NA	NA
9	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Heart		NA	PK_2_H	8,1	100	02.02.2016		1	prepped	AK10	11,55	13	1	TruSeq LT Index 9	204	1								NA	NA	NA
10	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Liver		NA	PK_2_L	114,0	100	02.02.2016		1	prepped	AK14	12,29	18	7	TruSeq LT Index 25	218	7	PK_2_L__r1							NA	NA	NA
