				selected
GO:0046903    secretion
GO:0045786    negative regulation of cell cycle
GO:0042593    glucose homeostasis
GO:0034641    cellular nitrogen compound metabolic process
GO:0030154    cell differentiation
GO:0031099    regeneration
GO:0034616    response to laminar fluid shear stress 
GO:0002154    thyroid hormone mediated signaling pathway

				glucagon
GO:0070091    glucagon secretion
GO:0120116    glucagon processing	
GO:0120022    glucagon binding	
GO:0031769    glucagon receptor binding
GO:0004967    glucagon receptor activity
GO:0033762    response to glucagon
GO:0070092    regulation of glucagon secretion
GO:0120024    glucagon-like peptide binding	
GO:0070093    negative regulation of glucagon secretion
GO:0070094    positive regulation of glucagon secretion
GO:0071377    cellular response to glucagon stimulus
GO:0044508    glucagon-like peptide 1 receptor activity
GO:0044506    modulation of glucagon-like peptide receptor 1 activity in other organism	
GO:0044516    positive regulation of glucagon-like peptide receptor 1 activity in other organism	
GO:0044512    envenomation resulting in modulation of glucagon-like peptide receptor 1 activity in other organism	
GO:0044515    envenomation resulting in positive regulation of glucagon-like peptide receptor 1 activity in other organism


				hypoxia
GO:0070483    detection of hypoxia
GO:0001666    response to hypoxia
GO:1990910    response to hypobaric hypoxia
GO:0071456    cellular response to hypoxia
GO:0102113    hypoxia-inducible factor-asparagine oxygenase activity
GO:0097411    hypoxia-inducible factor-1alpha signaling pathway
GO:1900037    regulation of cellular response to hypoxia
GO:1900038    negative regulation of cellular response to hypoxia
GO:1900039    positive regulation of cellular response to hypoxia
GO:1990144    intrinsic apoptotic signaling pathway in response to hypoxia
GO:1903297    regulation of hypoxia-induced intrinsic apoptotic signaling pathway
GO:1902071    regulation of hypoxia-inducible factor-1alpha signaling pathway
GO:1903298    negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway
GO:1902073    positive regulation of hypoxia-inducible factor-1alpha signaling pathway
GO:1902072    negative regulation of hypoxia-inducible factor-1alpha signaling pathway
GO:0061418    regulation of transcription from RNA polymerase II promoter in response to hypoxia
GO:0061419    positive regulation of transcription from RNA polymerase II promoter in response to hypoxia
GO:0061428    negative regulation of transcription from RNA polymerase II promoter in response to hypoxia
GO:2000777    positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia


				detoxification
GO:0098754    detoxification
GO:1990748    cellular detoxification
GO:0033355    ascorbate glutathione cycle
GO:0071722    detoxification of arsenic-containing substance
GO:0098869    cellular oxidant detoxification
GO:0010127    mycothiol-dependent detoxification
GO:0050787    detoxification of mercury ion
GO:0051410    detoxification of nitrogen compound
GO:0110095    cellular detoxification of aldehyde
GO:1990461    detoxification of iron ion
GO:0010273    detoxification of copper ion
GO:0010299    detoxification of cobalt ion	
GO:0010312    detoxification of zinc ion
GO:0061691    detoxification of hydrogen peroxide
GO:0061687    detoxification of inorganic compound
GO:0071585    detoxification of cadmium ion
GO:0140114    cellular detoxification of fluoride
GO:0140041    cellular detoxification of methylglyoxal
GO:0070458    cellular detoxification of nitrogen compound
GO:0098849    cellular detoxification of cadmium ion
GO:0061692    cellular detoxification of hydrogen peroxide
GO:1990880    cellular detoxification of copper ion	
GO:0009636    response to toxic substance
GO:1990961    xenobiotic detoxification by transmembrane export across the plasma membrane
GO:0140330    xenobiotic detoxification by transmembrane export across the cell outer membrane
GO:1905699    regulation of xenobiotic detoxification by transmembrane export across the plasma membrane	
GO:1905701    positive regulation of xenobiotic detoxification by transmembrane export across the plasma membrane	
GO:1905700    negative regulation of xenobiotic detoxification by transmembrane export across the plasma membrane	
GO:0019430    removal of superoxide radicals
GO:0042744    hydrogen peroxide catabolic process
GO:0019243    methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:2000295    regulation of hydrogen peroxide catabolic process
GO:2000296    negative regulation of hydrogen peroxide catabolic process
GO:0052165    symbiont defense to host-produced phytoalexin	
GO:1904833    positive regulation of removal of superoxide radicals	
GO:1904832    negative regulation of removal of superoxide radicals
GO:1903285    positive regulation of hydrogen peroxide catabolic process

				liver
GO:0072576    liver morphogenesis
GO:0001889    liver development
GO:0097421    liver regeneration
GO:0060344    liver trabecula formation	
GO:1990402    embryonic liver development
GO:0070365    hepatocyte differentiation
GO:0070366    regulation of hepatocyte differentiation
GO:0071910    determination of liver left/right asymmetry
GO:2001069    glycogen binding
GO:0072575    epithelial cell proliferation involved in liver morphogenesis
GO:0070367    negative regulation of hepatocyte differentiation
GO:0070368    positive regulation of hepatocyte differentiation
GO:0004806    triglyceride lipase activity
GO:0061011    hepatic duct development
GO:0002384    hepatic immune response
GO:0035733    hepatic stellate cell activation
GO:0061521    hepatic stellate cell differentiation	
GO:0061872    hepatic stellate cell contraction	
GO:0061868    hepatic stellate cell migration	
GO:1990922    hepatic stellate cell proliferation	
GO:2000489    regulation of hepatic stellate cell activation
GO:0061873    regulation of hepatic stellate cell contraction
GO:0061869    regulation of hepatic stellate cell migration
GO:1904897    regulation of hepatic stellate cell proliferation
GO:2000491    positive regulation of hepatic stellate cell activation
GO:2000490    negative regulation of hepatic stellate cell activation
GO:0061870    positive regulation of hepatic stellate cell migration
GO:0061871    negative regulation of hepatic stellate cell migration
GO:0061874    positive regulation of hepatic stellate cell contraction
GO:0061875    negative regulation of hepatic stellate cell contraction
GO:1904899    positive regulation of hepatic stellate cell proliferation
GO:1904898    negative regulation of hepatic stellate cell proliferation	
GO:0004454    ketohexokinase activity
GO:0061007    hepaticobiliary system process
GO:0061008    hepaticobiliary system development
GO:0004806    triglyceride lipase activity
GO:0070091    glucagon secretion
GO:0120116    glucagon processing
GO:0032782    bile acid secretion
GO:0002152    bile acid conjugation
GO:0032052    bile acid binding
GO:0008206    bile acid metabolic process
GO:0006699    bile acid biosynthetic process
GO:0030573    bile acid catabolic process
GO:1903412    response to bile acid
GO:0061009    common bile duct development
GO:0038183    bile acid signaling pathway
GO:0038181    bile acid receptor activity
GO:0008508    bile acid:sodium symporter activity
GO:0047704    bile-salt sulfotransferase activity
GO:0035622    intrahepatic bile duct development
GO:0015722    canalicular bile acid transport
GO:0033881    bile-acid-CoA hydrolase activity
GO:0015125    bile acid transmembrane transporter activity
GO:1903413    cellular response to bile acid
GO:0033988    bile-acid 7alpha-dehydratase activity
GO:0033792    bile-acid 7alpha-dehydroxylase activity
GO:0120188    regulation of bile acid secretion
GO:1904251    regulation of bile acid metabolic process
GO:0070857    regulation of bile acid biosynthetic process
GO:0015126    canalicular bile acid transmembrane transporter activity
GO:0038185    intracellular bile acid receptor signaling pathway
GO:0015432    ABC-type bile acid transporter activity
GO:0015721    bile acid and bile salt transport
GO:0120189    positive regulation of bile acid secretion
GO:0120190    negative regulation of bile acid secretion
