Patho-Nr,English,Tierart,scientific_name,Abbreviation,Institution,Location
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_H,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_L,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_K,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_S,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_D,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_LU,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_LN,fiwi,"Vienna, Austria"
47/222/09,Parma kangaroo/wallaby,ParmaKaenguru,Macropus parma,PK_1_M,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_H,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_L,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_K,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_S,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_D,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_LU,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_B,fiwi,"Vienna, Austria"
AC/753/12,Parma kangaroo/wallaby,Parmakaenguru,Macropus parma,PK_2_M,fiwi,"Vienna, Austria"
