,species,status
1,AB,CLEANUP
2,ABB,NOT COMPLETE
3,ABU,NOT COMPLETE
4,AC,CLEANUP
5,ACO,CLEANUP
6,ACT,MISMATCH
7,AFB,CLEANUP
8,AFP,MISMATCH
9,AGH,CLEANUP
10,AGS,CLEANUP
11,AI,CLEANUP
12,AL,CLEANUP
13,ALO,MISMATCH
14,ALP,NOT COMPLETE
15,AN,CLEANUP
16,ANG,CLEANUP
17,ANT,CLEANUP
18,ANW,CLEANUP
19,AR,CLEANUP
20,ARC,CLEANUP
21,AS,CLEANUP
22,ASH,CLEANUP
23,ASL,CLEANUP
24,ASQ,CLEANUP
25,AST,CLEANUP
26,ATE,CLEANUP
27,ATH,CLEANUP
28,ATS,CLEANUP
29,AW,CLEANUP
30,AX,CLEANUP
31,BA,CLEANUP
32,BAB,CLEANUP
33,BAS,CLEANUP
34,BAT,MISMATCH
35,BB,MISMATCH
36,BBA,MISMATCH
37,BBM,CLEANUP
38,BBR,CLEANUP
39,BC,CLEANUP
40,BCC,CLEANUP
41,BCF,CLEANUP
42,BCR,CLEANUP
43,BD,CLEANUP
44,BE,NOT COMPLETE
45,BEA,CLEANUP
46,BEG,CLEANUP
47,BF,CLEANUP
48,BFD,CLEANUP
49,BGR,CLEANUP
50,BHP,CLEANUP
51,BI,CLEANUP
52,BL,CLEANUP
53,BLB,CLEANUP
54,BLC,CLEANUP
55,BLF,CLEANUP
56,BLL,MISMATCH
57,BM,CLEANUP
58,BMO,CLEANUP
59,BNS,CLEANUP
60,BOA,CLEANUP
61,BOT,NOT COMPLETE
62,BP,MISMATCH
63,BPA,MISMATCH
64,BRL,CLEANUP
65,BRS,CLEANUP
66,BSB,CLEANUP
67,BSC,CLEANUP
68,BSG,CLEANUP
69,BSH,CLEANUP
70,BSN,CLEANUP
71,BSP,CLEANUP
72,BST,CLEANUP
73,BTF,CLEANUP
74,BTR,CLEANUP
75,BTS,CLEANUP
76,BU,CLEANUP
77,BUD,CLEANUP
78,BV,MISMATCH
79,BW,CLEANUP
80,BWL,CLEANUP
81,BYM,CLEANUP
82,BYR,CLEANUP
83,CA,CLEANUP
84,CAC,CLEANUP
85,CAM,CLEANUP
86,CAT,CLEANUP
87,CBU,CLEANUP
88,CCL,CLEANUP
89,CCS,CLEANUP
90,CD,CLEANUP
91,CDH,CLEANUP
92,CFL,CLEANUP
93,CH,CLEANUP
94,CHA,CLEANUP
95,CHC,CLEANUP
96,CHD,CLEANUP
97,CHI,CLEANUP
98,CHM,CLEANUP
99,CHS,CLEANUP
100,CHU,CLEANUP
101,CIK,MISMATCH
102,CK,CLEANUP
103,CM,CLEANUP
104,CNR,CLEANUP
105,CO,CLEANUP
106,COB,CLEANUP
107,COC,MISMATCH
108,COE,CLEANUP
109,COK,CLEANUP
110,COL,CLEANUP
111,COR,MISMATCH
112,COT,CLEANUP
113,COY,CLEANUP
114,CP,CLEANUP
115,CR,MISMATCH
116,CRF,CLEANUP
117,CRH,CLEANUP
118,CRS,CLEANUP
119,CS,CLEANUP
120,CSH,CLEANUP
121,CST,CLEANUP
122,CT,CLEANUP
123,CTH,CLEANUP
124,CTL,MISMATCH
125,CTT,CLEANUP
126,CW,CLEANUP
127,DAS,CLEANUP
128,DE,CLEANUP
129,DEH,CLEANUP
130,DFP,NOT COMPLETE
131,DG,CLEANUP
132,DHU,CLEANUP
133,DO,CLEANUP
134,DOG,CLEANUP
135,DP,CLEANUP
136,DR,CLEANUP
137,DS,CLEANUP
138,DSH,CLEANUP
139,EAB,MISMATCH
140,EAS,NOT COMPLETE
141,EB,CLEANUP
142,EEO,CLEANUP
143,EGF,CLEANUP
144,EGW,CLEANUP
145,EH,CLEANUP
146,EHA,CLEANUP
147,EJ,MISMATCH
148,EL,MISMATCH
149,ELB,CLEANUP
150,EM,CLEANUP
151,EO,CLEANUP
152,EPC,CLEANUP
153,EPO,CLEANUP
154,EPT,CLEANUP
155,ES,CLEANUP
156,ESH,CLEANUP
157,ESQ,CLEANUP
158,EUR,CLEANUP
159,EUS,CLEANUP
160,EV,CLEANUP
161,EYV,CLEANUP
162,FBI,CLEANUP
163,FDO,CLEANUP
164,FED,MISMATCH
165,FF,CLEANUP
166,FG,CLEANUP
167,FL,CLEANUP
168,FLA,CLEANUP
169,FLF,CLEANUP
170,FOX,CLEANUP
171,FPF,CLEANUP
172,FR,NOT COMPLETE
173,FRG,CLEANUP
174,FS,CLEANUP
175,GA,CLEANUP
176,GAC,CLEANUP
177,GB,CLEANUP
178,GCO,CLEANUP
179,GD,CLEANUP
180,GE,CLEANUP
181,GF,CLEANUP
182,GHL,CLEANUP
183,GI,CLEANUP
184,GJ,CLEANUP
185,GP,CLEANUP
186,GRE,MISMATCH
187,GRP,MISMATCH
188,GSQ,CLEANUP
189,GST,CLEANUP
190,GT,CLEANUP
191,GTW,CLEANUP
192,GU,CLEANUP
193,GUP,CLEANUP
194,GWP,MISMATCH
195,HA,CLEANUP
196,HAG,CLEANUP
197,HAM,CLEANUP
198,HAQ,CLEANUP
199,HE,CLEANUP
200,HFP,CLEANUP
201,HH,CLEANUP
202,HOO,CLEANUP
203,HP,CLEANUP
204,HS,CLEANUP
205,HT,CLEANUP
206,HU,CLEANUP
207,IE,CLEANUP
208,IFT,MISMATCH
209,IP,CLEANUP
210,JA,CLEANUP
211,JAK,CLEANUP
212,JCH,CLEANUP
213,JL,CLEANUP
214,JMD,CLEANUP
215,JS,CLEANUP
216,JSS,CLEANUP
217,KAN,MISMATCH
218,KBT,CLEANUP
219,KCO,CLEANUP
220,KIS,CLEANUP
221,KO,CLEANUP
222,KOA,CLEANUP
223,KP,CLEANUP
224,KT,CLEANUP
225,LB,CLEANUP
226,LEC,CLEANUP
227,LFA,NOT COMPLETE
228,LIL,CLEANUP
229,LLA,MISMATCH
230,LO,CLEANUP
231,LOB,CLEANUP
232,LOW,CLEANUP
233,LPW,CLEANUP
234,LSH,CLEANUP
235,LT,MISMATCH
236,LUF,CLEANUP
237,LYN,CLEANUP
238,MA,CLEANUP
239,MAA,CLEANUP
240,MAC,MISMATCH
241,MAG,CLEANUP
242,MAI,CLEANUP
243,MAR,CLEANUP
244,MAS,CLEANUP
245,MAT,CLEANUP
246,MB,CLEANUP
247,MBI,CLEANUP
248,MCB,CLEANUP
249,MCL,CLEANUP
250,MEE,CLEANUP
251,MF,CLEANUP
252,MH,CLEANUP
253,MOL,CLEANUP
254,MOS,CLEANUP
255,MOU,MISMATCH
256,MS,CLEANUP
257,MSB,CLEANUP
258,MST,CLEANUP
259,MT,CLEANUP
260,MU,CLEANUP
