#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Caenorhabditis briggsae","Eukaryota;Animals;Roundworms","AF16","SAMEA3138181","PRJNA10731","GCA_000004555.3"," Chromosome",108.384,37.6966,"chromosome I:FR847112.2; chromosome II:FR847113.2; chromosome III:FR847114.2; chromosome IV:FR847118.2; chromosome V:FR847121.2; chromosome X:FR847123.2","CAAC03",638,21237,"2002-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/555/GCA_000004555.3_CB4",
"Caenorhabditis elegans","Eukaryota;Animals;Roundworms","Bristol N2","SAMEA3138177","PRJNA13758","GCA_000002985.3","Complete",100.286,35.4317,"chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/",,7,28469,"2001-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/985/GCA_000002985.3_WBcel235","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235"
"Brugia malayi","Eukaryota;Animals;Roundworms","","SAMN02953652","PRJNA10729","GCA_000002995.2","Scaffold",93.6591,31.499,"mitochondrion MT:NC_004298.1/","AAQA01",24286,11472,"2002-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/995/GCA_000002995.2_ASM299v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.3_ASM299v2"
"Aedes aegypti","Eukaryota;Animals;Insects","LVP_AGWG","SAMN07177802","PRJNA392114","GCA_002204515.1"," Chromosome",1278.73,38.1667,"chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1","NIGP01",2310,28317,"2017-06-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0"
"Aedes albopictus","Eukaryota;Animals;Insects","FPA","SAMN11317331","PRJNA552090","GCA_006496715.1","Scaffold",2538.39,40.3999,"mitochondrion MT:NC_006817.1/","SWKY01",2197,40086,"2019-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/496/715/GCA_006496715.1_Aalbo_primary.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/496/715/GCF_006496715.1_Aalbo_primary.1"
"Anopheles gambiae str. PEST","Eukaryota;Animals;Insects","PEST","SAMN02952903","PRJNA1438","GCA_000005575.1"," Chromosome",265.027,44.5151,"chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/","AAAB01",8145,14102,"2002-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3"
"Drosophila melanogaster","Eukaryota;Animals;Insects","","SAMN02803731","PRJNA13669","GCA_000001215.4"," Chromosome",143.726,42.0803,"chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2",,1870,30559,"2002-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT"
"Ciona intestinalis","Eukaryota;Animals;Other Animals","","","PRJDA65419","GCA_000224145.2"," Chromosome",115.227,36.0239,"chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_017929.1/HT000188.1","EAAA01",1280,21099,"2011-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/145/GCA_000224145.2_KH","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.3_KH"
"Apis mellifera","Eukaryota;Animals;Insects","DH4","SAMN09259743","PRJNA477511","GCA_003254395.2"," Chromosome",225.251,32.6352,"linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2","QIUM02",177,23471,"2018-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1"
"Danio rerio","Eukaryota;Animals;Fishes","Tuebingen","SAMN06930106","PRJNA11776","GCA_000002035.4"," Chromosome",1679.2,36.6374,"chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/",,2848,57100,"2005-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11"
